Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1n","C_0402_1005Metric",99.760000,-97.400000,180.000000,top
"C2","100n","C_0402_1005Metric",99.750000,-98.334999,180.000000,top
"C3","100n","C_0402_1005Metric",102.500000,-103.500000,180.000000,top
"C4","1n","C_0402_1005Metric",163.909000,-105.076000,270.000000,top
"C5","1n","C_0402_1005Metric",109.558000,-70.750000,0.000000,top
"C6","100n","C_0402_1005Metric",162.909000,-105.076000,270.000000,top
"C7","100n","C_0402_1005Metric",109.558000,-69.750000,0.000000,top
"C8","4u7","C_0402_1005Metric",107.950000,-33.020000,90.000000,top
"C9","100n","C_0402_1005Metric",106.680000,-33.020000,90.000000,top
"C10","4u7","C_0402_1005Metric",108.000000,-45.980000,270.000000,top
"C11","100n","C_0402_1005Metric",107.000000,-46.000000,270.000000,top
"C12","1n","C_0402_1005Metric",125.052000,-89.042000,90.000000,top
"C13","100n","C_0402_1005Metric",126.068000,-89.042000,90.000000,top
"C14","4u7","C_0402_1005Metric",120.015000,-52.705000,90.000000,top
"C15","100n","C_0402_1005Metric",118.745000,-52.705000,90.000000,top
"C16","10n","C_0402_1005Metric",110.000000,-97.250000,0.000000,top
"C17","10n","C_0402_1005Metric",108.000000,-99.000000,270.000000,top
"C18","10n","C_0402_1005Metric",118.500000,-95.000000,270.000000,top
"D1","PSM712-LF-T7","SOT-23",106.680000,-54.610000,0.000000,top
"D2","PSM712-LF-T7","SOT-23",101.346000,-71.374000,270.000000,top
"J1","USB_B_Micro","USB_Micro_B_Female_10118194-0001LF",166.000000,-104.000000,90.000000,top
"Q1","MMBT3904","SOT-23",153.409000,-100.076000,90.000000,top
"Q2","MMBT3904","SOT-23",153.409000,-106.076000,270.000000,top
"Q3","Q_PNP_BCE","SOT-23",153.850000,-52.050000,90.000000,top
"Q4","Q_PNP_BCE","SOT-23",153.850000,-48.550000,90.000000,top
"Q5","Q_PNP_BCE","SOT-23",153.850000,-45.050000,90.000000,top
"Q6","Q_PNP_BCE","SOT-23",153.850000,-41.550000,90.000000,top
"Q7","Q_PNP_BCE","SOT-23",153.850000,-38.050000,90.000000,top
"Q8","Q_PNP_BCE","SOT-23",153.850000,-34.550000,90.000000,top
"R1","10k","R_0603_1608Metric",105.000000,-103.750000,0.000000,top
"R2","10k","R_0603_1608Metric",111.000000,-72.000000,180.000000,top
"R3","10k","R_0603_1608Metric",108.000000,-72.000000,0.000000,top
"R4","10k","R_0603_1608Metric",106.000000,-63.500000,90.000000,top
"R5","10k","R_0603_1608Metric",106.000000,-60.500000,270.000000,top
"R6","10k","R_0603_1608Metric",153.409000,-103.076000,180.000000,top
"R7","10k","R_0603_1608Metric",156.409000,-107.576000,90.000000,top
"R8","10k","R_0603_1608Metric",109.500000,-99.500000,270.000000,top
"R9","10k","R_0603_1608Metric",111.000000,-99.500000,270.000000,top
"R10","10k","R_0603_1608Metric",109.500000,-103.000000,90.000000,top
"R11","10k","R_0603_1608Metric",111.000000,-103.000000,90.000000,top
"R12","1k","R_0603_1608Metric",149.650000,-50.100000,0.000000,top
"R13","1k","R_0603_1608Metric",149.650000,-47.350000,0.000000,top
"R14","1k","R_0603_1608Metric",149.650000,-44.600000,0.000000,top
"R15","1k","R_0603_1608Metric",149.650000,-41.850000,0.000000,top
"R16","1k","R_0603_1608Metric",149.650000,-39.100000,0.000000,top
"R17","1k","R_0603_1608Metric",149.650000,-36.350000,0.000000,top
"SW1","RESET","Switch_Tactile_SMD_4.5x4.5mm_TL3315NF160Q",103.750000,-100.000000,90.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",107.315000,-86.995000,90.000000,top
"U3","DS3231M","SOIC-16W_7.5x10.3mm_P1.27mm",112.475000,-63.250000,90.000000,top
"U4","CP2104","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",159.099000,-102.976000,90.000000,top
"U5","AMS1117-3.3","SOT-223-3_TabPin2",114.300000,-49.530000,270.000000,top
