Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1n","C_0402_1005Metric",116.300000,-72.514999,90.000000,top
"C2","100n","C_0402_1005Metric",117.275001,-72.514999,90.000000,top
"C3","100n","C_0402_1005Metric",115.300000,-75.700000,90.000000,top
"C4","1n","C_0402_1005Metric",113.300000,-107.300000,270.000000,top
"C5","1n","C_0402_1005Metric",155.800000,-90.000000,0.000000,top
"C6","100n","C_0402_1005Metric",112.300000,-107.300000,270.000000,top
"C7","100n","C_0402_1005Metric",155.800000,-91.000000,0.000000,top
"C8","4u7","C_0402_1005Metric",169.200000,-102.700000,270.000000,top
"C9","100n","C_0402_1005Metric",168.200000,-102.700000,270.000000,top
"C10","4u7","C_0402_1005Metric",169.200000,-104.900000,90.000000,top
"C11","100n","C_0402_1005Metric",168.200000,-104.900000,90.000000,top
"C12","1n","C_0402_1005Metric",139.900000,-92.200000,90.000000,top
"C13","100n","C_0402_1005Metric",138.885001,-92.200000,90.000000,top
"C14","4u7","C_0402_1005Metric",155.400000,-105.800000,180.000000,top
"C15","100n","C_0402_1005Metric",155.400000,-106.800000,180.000000,top
"C16","10n","C_0402_1005Metric",105.800000,-79.200000,90.000000,top
"C17","10n","C_0402_1005Metric",106.800000,-78.200000,270.000000,top
"C18","10n","C_0402_1005Metric",104.000000,-92.000000,0.000000,top
"D1","PSM712-LF-T7","SOT-23",169.000000,-86.000000,0.000000,top
"D2","PSM712-LF-T7","SOT-23",175.900000,-68.600000,90.000000,top
"J1","USB_B_Micro","USB_Micro_B_Female_10118194-0001LF",98.500000,-104.000000,0.000000,top
"Q1","MMBT3904","SOT-23",111.000000,-94.600000,180.000000,top
"Q2","MMBT3904","SOT-23",115.000000,-94.600000,0.000000,top
"R1","10k","R_0603_1608Metric",116.900000,-75.100000,90.000000,top
"R2","10k","R_0603_1608Metric",154.000000,-91.500000,90.000000,top
"R3","10k","R_0603_1608Metric",152.000000,-89.500000,270.000000,top
"R4","10k","R_0603_1608Metric",148.300000,-78.800000,90.000000,top
"R5","10k","R_0603_1608Metric",146.650000,-78.050000,90.000000,top
"R6","10k","R_0603_1608Metric",111.500000,-98.600000,90.000000,top
"R7","10k","R_0603_1608Metric",114.000000,-98.600000,90.000000,top
"R8","10k","R_0603_1608Metric",97.600000,-83.600000,0.000000,top
"R9","10k","R_0603_1608Metric",103.000000,-83.600000,180.000000,top
"R10","10k","R_0603_1608Metric",99.600000,-87.600000,90.000000,top
"R11","10k","R_0603_1608Metric",101.200000,-87.625000,90.000000,top
"SW1","RESET","Switch_Tactile_SMD_4.5x4.5mm_TL3315NF160Q",111.900000,-74.500000,270.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",127.700000,-81.100000,0.000000,top
"U3","DS3231M","SOIC-16W_7.5x10.3mm_P1.27mm",158.500000,-83.500000,90.000000,top
"U4","CP2104","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",114.500000,-103.600000,0.000000,top
"U5","AMS1117-3.3","SOT-223-3_TabPin2",156.800000,-100.600000,90.000000,top
