Wavelength,10AM LA sunny,4PM LA shade,6AM LA November Twilight,7AM LA foggy,Blue Sky LA 2PM,Green Grass 4PM,Roadway 4PM,Roadway Shady 4PM,Sidewalk 4PM,Sidewalk Shady 4PM,White House 4PM,White House Shady 4PM,,,,,,
380,0.5609,0.1127,0.000032,0.0162,0.04075,0.001862,0.005447,0.001397,0.01296,0.004251,0.0156,0.002866,,,1.524,,0.368044619,0
384,0.5121,0.1013,0.000029,0.01471,0.03719,0.001834,0.0053,0.001319,0.01267,0.004077,0.01782,0.003086,,,52.698,,0.336023622,0
388,0.5557,0.1086,0.000031,0.01562,0.03801,0.002031,0.005742,0.001389,0.01395,0.004374,0.02328,0.003809,,,,,0.364632546,0
392,0.5831,0.1127,0.000032,0.01613,0.03816,0.002231,0.006064,0.001436,0.01491,0.004584,0.03109,0.004785,,,,,0.382611549,0
396,0.6614,0.1259,0.000036,0.01816,0.04167,0.002738,0.007101,0.00163,0.01761,0.005297,0.04809,0.006966,,,,,0.433989501,0
400,0.8473,0.1601,0.000045,0.02263,0.05069,0.003728,0.009127,0.002038,0.02289,0.006733,0.07737,0.01073,0.014,,,,0.555971129,0.000265665
404,0.9529,0.1791,0.00005,0.02506,0.05471,0.004524,0.01026,0.002247,0.02599,0.007508,0.1052,0.014,0.018,,,,0.625262467,0.000341569
408,0.9888,0.1843,0.000051,0.02568,0.05451,0.005226,0.01074,0.002303,0.02746,0.007786,0.1314,0.01666,0.026,,,,0.648818898,0.000493377
412,1.039,0.1917,0.000053,0.02647,0.05434,0.00613,0.01134,0.002364,0.02928,0.008129,0.1583,0.01903,0.047,,,,0.68175853,0.000891874
416,1.065,0.1949,0.000054,0.02671,0.05386,0.006994,0.01179,0.002405,0.03074,0.008384,0.1768,0.02037,0.121,,,,0.698818898,0.002296102
420,1.077,0.1953,0.000053,0.0266,0.05219,0.00773,0.01202,0.002395,0.03162,0.008465,0.1868,0.02076,0.387,,,,0.706692913,0.007343732
424,1.069,0.1921,0.000052,0.02599,0.04987,0.008284,0.01204,0.002349,0.03201,0.008415,0.1902,0.02053,1.226,,,,0.70144357,0.02326464
428,1.032,0.1841,0.000049,0.02484,0.04644,0.008536,0.01176,0.002248,0.03163,0.008168,0.1867,0.01968,3.449,,,,0.677165354,0.065448404
432,1.062,0.1875,0.000051,0.02517,0.04573,0.009373,0.0123,0.002285,0.03355,0.00848,0.1946,0.02001,8.281,,,,0.696850394,0.157140688
436,1.146,0.2006,0.000054,0.0266,0.04718,0.01057,0.01339,0.002425,0.037,0.00916,0.2107,0.02121,16.769,,,,0.751968504,0.31820942
440,1.221,0.212,0.000056,0.02791,0.04827,0.01168,0.01439,0.002547,0.04024,0.00978,0.2252,0.02224,28.516,,,,0.801181102,0.541121105
444,1.298,0.2235,0.000059,0.02915,0.04938,0.01286,0.01542,0.002672,0.04361,0.0104,0.2401,0.02327,40.658,,,,0.851706037,0.771528331
448,1.367,0.234,0.000061,0.03029,0.05025,0.01396,0.01637,0.002784,0.04675,0.01096,0.2538,0.02419,48.585,,,,0.896981627,0.921951497
452,1.411,0.2402,0.000061,0.0309,0.05015,0.01476,0.01697,0.002841,0.04881,0.01125,0.2622,0.02459,48.682,,,,0.925853018,0.923792174
456,1.433,0.2425,0.000061,0.03101,0.0492,0.01533,0.01732,0.002851,0.0501,0.01136,0.2667,0.02455,41.025,,,,0.940288714,0.778492542
460,1.456,0.2448,0.000059,0.03099,0.04815,0.01589,0.01771,0.002857,0.0515,0.01147,0.2713,0.02446,29.612,,,,0.955380577,0.561918858
464,1.464,0.2445,0.000059,0.03066,0.04661,0.0162,0.01785,0.002825,0.05216,0.01141,0.2725,0.02405,20.324,,,,0.960629921,0.385669285
468,1.451,0.2405,0.000057,0.02988,0.0444,0.0163,0.01778,0.002753,0.05216,0.01119,0.2702,0.02329,18.743,,,,0.952099738,0.355668147
472,1.464,0.2407,0.000056,0.02941,0.04284,0.0167,0.01801,0.002719,0.05302,0.01115,0.2718,0.02287,27.562,,,,0.960629921,0.523017951
476,1.488,0.243,0.000055,0.02912,0.04191,0.01725,0.01843,0.002722,0.05449,0.01126,0.2768,0.02276,42.49,,,,0.976377953,0.806292459
480,1.504,0.2441,0.000053,0.02891,0.04085,0.01761,0.01868,0.002708,0.05543,0.01127,0.2792,0.02254,52.698,,,,0.98687664,1
484,1.469,0.2375,0.00005,0.02805,0.03864,0.01736,0.0183,0.002613,0.05451,0.01093,0.2725,0.02168,51.185,,,,0.963910761,0.971289233
488,1.441,0.2317,0.000049,0.02726,0.03669,0.01737,0.01813,0.002539,0.0543,0.01072,0.2683,0.02099,42.282,,,,0.945538058,0.80234544
492,1.474,0.2358,0.000049,0.02739,0.03618,0.01816,0.01863,0.002557,0.0563,0.01095,0.2739,0.02109,34.196,,,,0.967191601,0.648905082
496,1.488,0.2368,0.000047,0.02712,0.03515,0.01885,0.01891,0.002546,0.0576,0.01102,0.2763,0.02096,29.434,,,,0.976377953,0.558541121
500,1.478,0.2335,0.000044,0.02638,0.03369,0.01926,0.01884,0.002494,0.05775,0.0109,0.2737,0.02046,25.896,,,,0.969816273,0.491403848
504,1.477,0.2317,0.000041,0.02574,0.03254,0.02013,0.01895,0.002461,0.05854,0.0109,0.2733,0.02015,22.109,,,,0.969160105,0.419541539
508,1.49,0.2328,0.00004,0.02551,0.03176,0.02148,0.01927,0.002461,0.05997,0.01103,0.276,0.02017,19.489,,,,0.977690289,0.369824282
512,1.478,0.2305,0.000039,0.02501,0.03048,0.02272,0.01926,0.00243,0.06035,0.01099,0.2742,0.01997,24.152,,,,0.969816273,0.458309613
516,1.43,0.2226,0.000037,0.02397,0.02858,0.02374,0.01878,0.002347,0.05933,0.01071,0.2663,0.01935,27.286,,,,0.93832021,0.517780561
520,1.431,0.2216,0.000035,0.02351,0.02765,0.02628,0.01901,0.00234,0.06064,0.01084,0.2673,0.01938,31.147,,,,0.938976378,0.591047099
524,1.468,0.2266,0.000033,0.02354,0.02744,0.0292,0.01962,0.002384,0.06305,0.01117,0.274,0.01981,37.216,,,,0.963254593,0.706212759
528,1.491,0.2292,0.000031,0.02336,0.02698,0.03178,0.02005,0.002411,0.06495,0.01141,0.2785,0.02009,42.678,,,,0.978346457,0.809859957
532,1.514,0.2318,0.00003,0.02324,0.02653,0.03406,0.02045,0.002435,0.06677,0.01164,0.2827,0.02033,44.407,,,,0.99343832,0.842669551
536,1.519,0.2317,0.000029,0.02297,0.02581,0.03558,0.02062,0.00243,0.06781,0.01172,0.2836,0.02032,42.338,,,,0.99671916,0.803408099
540,1.512,0.2295,0.000027,0.02253,0.02487,0.03649,0.02061,0.002401,0.06827,0.01168,0.2819,0.02006,36.534,,,,0.992125984,0.693271092
