Wavelength,EveningNorm,Morning,Afternoon,Evening,Night
400,7.00E-04,0.015,0.007,0.007,0
404,7.00E-04,0.02,0.007,0.007,0
408,8.00E-04,0.029,0.008,0.008,0
412,9.00E-04,0.054,0.009,0.009,0
416,9.00E-04,0.143,0.009,0.009,0
420,1.00E-03,0.46,0.01,0.01,0
424,1.10E-03,1.463,0.011,0.011,0
428,1.20E-03,4.117,0.012,0.012,0
432,1.30E-03,9.888,0.014,0.013,0
436,1.40E-03,20.027,0.015,0.014,0
440,1.60E-03,34.057,0.017,0.016,0
444,1.70E-03,48.559,0.02,0.017,0
448,1.90E-03,58.026,0.023,0.019,0
452,2.10E-03,58.134,0.028,0.021,0
456,2.30E-03,48.958,0.035,0.023,0
460,2.50E-03,35.185,0.045,0.025,0
464,2.80E-03,23.54,0.058,0.028,0
468,3.10E-03,20.05,0.077,0.031,0
472,3.50E-03,27.387,0.103,0.035,0
476,3.90E-03,41.192,0.141,0.039,0
480,4.40E-03,50.799,0.193,0.044,0
484,4.90E-03,49.305,0.264,0.049,0
488,5.60E-03,40.772,0.362,0.056,0
492,6.30E-03,33.031,0.494,0.063,0
496,7.20E-03,28.477,0.678,0.072,0
500,8.30E-03,25.1,0.944,0.083,0
504,9.60E-03,21.5,1.405,0.096,0
508,1.11E-02,19.086,2.949,0.111,0
512,1.29E-02,23.937,10.186,0.129,0
516,1.51E-02,27.21,13.109,0.151,0
520,1.77E-02,31.157,13.967,0.177,0
524,2.10E-02,37.27,15.712,0.21,0
528,2.51E-02,42.748,17.889,0.251,0
532,3.02E-02,44.48,19.211,0.302,0
536,3.67E-02,42.411,19.731,0.367,0
540,4.49E-02,36.608,18.017,0.449,0
544,5.56E-02,29.667,14.882,0.556,0
548,6.96E-02,27.452,15.319,0.696,0
552,8.80E-02,26.841,16.378,0.88,0
556,1.13E-01,26.865,17.639,1.128,0
560,1.46E-01,27.053,18.963,1.464,0
564,1.93E-01,27.36,20.342,1.925,0
568,2.56E-01,27.945,21.868,2.563,0
572,3.45E-01,29.033,23.737,3.448,0
576,4.67E-01,30.838,26.177,4.668,0
580,6.31E-01,33.267,29.111,6.31,0
584,8.41E-01,35.691,31.907,8.411,0
588,1.09E+00,37.42,33.874,10.869,0
592,1.34E+00,38.367,34.937,13.38,0.002
596,1.55E+00,38.823,35.421,15.513,0.008
600,1.70E+00,38.884,35.462,16.975,0.034
604,1.78E+00,38.505,35.049,17.797,0.117
608,1.83E+00,37.818,34.329,18.287,0.34
612,1.88E+00,37.135,33.617,18.825,0.827
616,1.97E+00,36.775,33.229,19.726,1.683
620,2.09E+00,36.629,33.074,20.881,2.881
624,2.22E+00,36.614,33.104,22.228,4.27
628,2.39E+00,36.789,33.423,23.862,6.197
632,2.74E+00,38.767,35.679,27.419,10.502
636,3.48E+00,44.475,41.796,34.798,19.169
640,3.69E+00,44.876,42.697,36.895,23.009
644,2.39E+00,30.215,28.56,23.853,11.948
648,1.26E+00,17.485,16.315,12.573,2.644
652,8.59E-01,12.283,11.512,8.589,0.458
656,6.72E-01,9.443,8.966,6.719,0.12
660,5.37E-01,7.359,7.08,5.374,0.034
664,4.34E-01,5.777,5.62,4.34,0.008
668,3.53E-01,4.571,4.484,3.534,0.002
672,2.90E-01,3.646,3.598,2.9,0
676,2.40E-01,2.933,2.905,2.399,0
680,2.00E-01,2.379,2.363,2,0
684,1.68E-01,1.948,1.938,1.681,0
688,1.42E-01,1.609,1.603,1.423,0
692,1.21E-01,1.341,1.338,1.214,0
696,1.04E-01,1.129,1.127,1.043,0
