Wavelength,DeviceDay
400,0.014
404,0.018
408,0.026
412,0.047
416,0.121
420,0.387
424,1.226
428,3.449
432,8.281
436,16.769
440,28.516
444,40.658
448,48.585
452,48.682
456,41.025
460,29.612
464,20.324
468,18.743
472,27.562
476,42.49
480,52.698
484,51.185
488,42.282
492,34.196
496,29.434
500,25.896
504,22.109
508,19.489
512,24.152
516,27.286
520,31.147
524,37.216
528,42.678
532,44.407
536,42.338
540,36.534
544,29.59
548,27.369
552,26.748
556,26.762
560,26.938
564,27.234
568,27.808
572,28.887
576,30.687
580,33.115
584,35.542
588,37.279
592,38.237
596,38.706
600,38.78
604,38.412
608,37.734
612,37.058
616,36.702
620,36.56
624,36.548
628,36.728
632,38.713
636,44.427
640,44.836
644,30.182
648,17.459
652,12.262
656,9.427
660,7.347
664,5.768
668,4.564
672,3.641
676,2.929
680,2.377
684,1.946
688,1.608
692,1.341
696,1.129
